,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,73.9,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
4,Faanui,PF,79.0,scattered clouds,-16.4833,-151.75,Oa Oa Lodge
6,Salinopolis,BR,80.47,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
7,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
8,Gorontalo,ID,86.49,overcast clouds,0.5412,123.0595,Grand City Hotel
12,Ormara,PK,75.52,scattered clouds,25.2088,64.6357,No hotel found
17,Atuona,PF,77.25,overcast clouds,-9.8,-139.0333,Pearl Resort
29,Hilo,US,76.24,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
36,Souillac,MU,75.58,light rain,-20.5167,57.5167,Hotel SkylineInn
37,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
41,Quixeramobim,BR,80.94,few clouds,-5.1992,-39.2928,Veredas do Sertao
46,Bengkulu,ID,76.17,overcast clouds,-3.8004,102.2655,Dena Hotel
49,Port-Gentil,GA,78.62,light rain,-0.7193,8.7815,Tara-Mé
52,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,No hotel found
54,Arraial Do Cabo,BR,72.25,few clouds,-22.9661,-42.0278,No hotel found
58,Sur,OM,75.65,clear sky,22.5667,59.5289,Sur Hotel
59,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le Baril
67,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti International Resort
69,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,losmen Surya
70,Mount Gambier,AU,76.53,overcast clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
71,Mindelo,CV,73.89,clear sky,16.8901,-24.9804,Solar Windelo
75,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Tropic Hotel
76,Maumere,ID,84.97,broken clouds,-8.6199,122.2111,Bogor
77,Katherine,AU,86.32,overcast clouds,-14.4667,132.2667,No hotel found
80,Nuevitas,CU,76.53,overcast clouds,21.5453,-77.2644,Hotel Caonaba
85,Dwarka,IN,74.71,clear sky,22.2394,68.9678,The Dwarika Hotel
91,Moindou,NC,78.84,clear sky,-21.6924,165.677,No hotel found
93,Bubaque,GW,82.27,overcast clouds,11.2833,-15.8333,Chez Julio
96,Thinadhoo,MV,80.83,overcast clouds,0.5333,72.9333,No hotel found
97,Salalah,OM,73.53,clear sky,17.0151,54.0924,Muscat International Hotel
98,Moanda,GA,70.03,moderate rain,-1.5575,13.2178,Matsissa
99,Lorengau,PG,86.14,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
105,Chabahar,IR,76.55,few clouds,25.2919,60.643,هتل سپیده
107,Vaitape,PF,78.96,scattered clouds,-16.5167,-151.75,Oa Oa Lodge
109,Kavieng,PG,84.18,scattered clouds,-2.5744,150.7967,Kavieng Hotel
110,Gizo,SB,84.92,broken clouds,-8.103,156.8419,Gizo Hotel
111,Porto Novo,BJ,79.07,clear sky,6.4965,2.6036,Hôtel 6500 CFA
113,Tsabong,BW,75.79,clear sky,-26.0217,22.401,No hotel found
116,Kontagora,NG,71.28,overcast clouds,10.3999,5.4695,No hotel found
117,Caravelas,BR,74.66,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
121,Victoria,HK,74.32,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
122,Port Lincoln,AU,70.92,broken clouds,-34.7333,135.8667,Boston Hotel
123,Soc Trang,VN,80.08,overcast clouds,9.6033,105.98,Khách sạn Khánh Hưng
129,Kuala Terengganu,MY,78.91,overcast clouds,5.3302,103.1408,Uncle Homestay
134,San Luis,AR,80.49,clear sky,-33.295,-66.3356,Hotel Dos Venados
135,Macapa,BR,79.07,overcast clouds,0.0389,-51.0664,Hotel do Norte
136,Sampit,ID,79.21,overcast clouds,-2.5333,112.95,Hotel Sultan
138,Ikom,NG,71.71,clear sky,5.9667,8.7063,Gold Palm Hotels
139,Bathsheba,BB,79.47,broken clouds,13.2167,-59.5167,Atlantis Hotel
142,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Pono Kai Resort
146,Acari,PE,71.02,scattered clouds,-15.4311,-74.6158,No hotel found
148,Lompoc,US,71.74,clear sky,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
150,Vila Velha,BR,70.95,overcast clouds,-20.3297,-40.2925,Hotel Prainha
151,Bandarbeyla,SO,76.57,clear sky,9.4942,50.8122,No hotel found
152,Kismayo,SO,78.03,broken clouds,-0.3582,42.5454,Kismayo Hotel
154,San Felipe,VE,72.63,overcast clouds,10.3399,-68.7425,No hotel found
155,Hithadhoo,MV,81.9,overcast clouds,-0.6,73.0833,Pebbles Inn
160,Upata,VE,76.19,broken clouds,8.0086,-62.3989,Hotel Garibardi
161,Chum Phae,TH,74.35,heavy intensity rain,16.5443,102.0992,Major Grand Hotel
