WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,40.66,70,75,21.85,broken clouds
1,Te Anau,NZ,-45.4167,167.7167,53.08,65,100,3.27,overcast clouds
2,Jalu,LY,29.0331,21.5482,60.3,72,97,6.71,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,73.9,76,100,8.88,overcast clouds
4,Faanui,PF,-16.4833,-151.75,79.0,72,29,15.14,scattered clouds
5,Barrow,US,71.2906,-156.7887,8.62,78,100,18.41,light snow
6,Salinopolis,BR,-0.6136,-47.3561,80.47,76,100,11.68,overcast clouds
7,Georgetown,MY,5.4112,100.3354,80.53,91,20,2.3,few clouds
8,Gorontalo,ID,0.5412,123.0595,86.49,65,89,0.98,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,54.48,47,100,8.1,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,42.91,65,20,19.57,few clouds
11,Qasigiannguit,GL,68.8193,-51.1922,0.93,90,95,5.93,overcast clouds
12,Ormara,PK,25.2088,64.6357,75.52,50,46,2.73,scattered clouds
13,Albany,US,42.6001,-73.9662,41.41,73,52,5.01,broken clouds
14,Chintamani,IN,13.4,78.0667,64.74,94,89,4.05,overcast clouds
15,Tahlequah,US,35.9154,-94.97,48.07,71,0,0.0,clear sky
16,Henties Bay,NA,-22.116,14.2845,57.61,92,10,8.32,clear sky
17,Atuona,PF,-9.8,-139.0333,77.25,78,94,13.09,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,58.6,68,27,8.25,scattered clouds
19,Fairbanks,US,64.8378,-147.7164,13.08,91,98,2.71,overcast clouds
20,Sitka,US,57.0531,-135.33,46.29,87,100,13.8,moderate rain
21,Talnakh,RU,69.4865,88.3972,-14.8,100,100,3.98,overcast clouds
22,Kodiak,US,57.79,-152.4072,36.91,52,0,16.11,clear sky
23,Bhubaneswar,IN,20.2333,85.8333,61.02,94,2,2.3,mist
24,Port Alfred,ZA,-33.5906,26.891,59.18,86,0,1.01,clear sky
25,New Norfolk,AU,-42.7826,147.0587,60.93,38,100,2.17,overcast clouds
